Round,Pick,Player,Name,Team,Position,College
1,1,1,Eric Fisher,Chiefs,T,Central Michigan
1,2,2,Luke Joeckel,Jaguars,T,Texas A&M
1,3,3,Dion Jordan,Dolphins,DE,Oregon
1,4,4,Lane Johnson,Eagles,T,Oklahoma
1,5,5,Ziggy Ansah,Lions,DE,Brigham Young
1,6,6,Barkevious Mingo,Browns,DE,Louisiana State
1,7,7,Jonathan Cooper,Cardinals,G,North Carolina
1,8,8,Tavon Austin,Rams,WR,West Virginia
1,9,9,Dee Milliner,Jets,DB,Alabama
1,10,10,Chance Warmack,Titans,G,Alabama
1,11,11,D.J. Fluker,Chargers,T,Alabama
1,12,12,D.J. Hayden,Raiders,DB,Houston
1,13,13,Sheldon Richardson,Jets,DT,Missouri
1,14,14,Star Lotulelei,Panthers,DT,Utah
1,15,15,Kenny Vaccaro,Saints,DB,Texas
1,16,16,E.J. Manuel,Bills,QB,Florida State
1,17,17,Jarvis Jones,Steelers,LB,Georgia
1,18,18,Eric Reid,49ers,DB,Louisiana State
1,19,19,Justin Pugh,Giants,T,Syracuse
1,20,20,Kyle Long,Bears,G,Oregon
1,21,21,Tyler Eifert,Bengals,TE,Notre Dame
1,22,22,Desmond Trufant,Falcons,DB,Washington
1,23,23,Sharrif Floyd,Vikings,DT,Florida
1,24,24,Bjoern Werner,Colts,DE,Florida State
1,25,25,Xavier Rhodes,Vikings,DB,Florida State
1,26,26,Datone Jones,Packers,DE,UCLA
1,27,27,DeAndre Hopkins,Texans,WR,Clemson
1,28,28,Sylvester Williams,Broncos,DT,North Carolina
1,29,29,Cordarrelle Patterson,Vikings,WR,Tennessee
1,30,30,Alec Ogletree,Rams,LB,Georgia
1,31,31,Travis Frederick,Cowboys,C,Wisconsin
1,32,32,Matt Elam,Ravens,DB,Florida
2,1,33,John Cyprien,Jaguars,DB,Florida International
2,2,34,Justin Hunter,Titans,WR,Tennessee
2,3,35,Zach Ertz,Eagles,TE,Stanford
2,4,36,Darius Slay,Lions,DB,Mississippi State
2,5,37,Giovani Bernard,Bengals,RB,North Carolina
2,6,38,Manti Te'o,Chargers,LB,Notre Dame
2,7,39,Geno Smith,Jets,QB,West Virginia
2,8,40,Cornellius Carradine,49ers,DE,Florida State
2,9,41,Robert Woods,Bills,WR,USC
2,10,42,Menelik Watson,Raiders,T,Florida State
2,11,43,Johnthan Banks,Buccaneers,DB,Mississippi State
2,12,44,Kawann Short,Panthers,DT,Purdue
2,13,45,Kevin Minter,Cardinals,LB,Louisiana State
2,14,46,Kiko Alonso,Bills,LB,Oregon
2,15,47,Gavin Escobar,Cowboys,TE,San Diego State
2,16,48,Le'Veon Bell,Steelers,RB,Michigan State
2,17,49,Johnathan Hankins,Giants,DT,Ohio State
2,18,50,Jon Bostic,Bears,LB,Florida
2,19,51,David Amerson,Redskins,DB,North Carolina State
2,20,52,Jamie Collins,Patriots,LB,Southern Mississippi
2,21,53,Margus Hunt,Bengals,DE,Southern Methodist
